borough_name,neighborhood,num_sales,avg_price,avg_ppsf,lat,lng
Manhattan,CHINATOWN,704,3150674.0,957.56,40.7165515369318,-73.99853600994332
Manhattan,EAST VILLAGE,1451,3253552.0,1403.56,40.728405408683756,-73.98653823845612
Manhattan,FASHION,928,5102695.0,1415.18,40.74971755495697,-73.98869285344807
Manhattan,CHELSEA,6989,2533210.0,1566.82,40.74460235427064,-73.99992255415636
Manhattan,CLINTON,2362,3228154.0,1353.88,40.76356660922976,-73.99256085012715
Manhattan,CIVIC CENTER,1913,4306466.0,1865.92,40.715547327757626,-74.00561207527522
Manhattan,GRAMERCY,4487,1755950.0,1588.13,40.73766401069778,-73.98436211566685
Manhattan,FLATIRON,2817,3284263.0,1576.85,40.73955845544863,-73.99078973943878
Manhattan,FINANCIAL,3250,1937007.0,1297.16,40.70716912861614,-74.01039485507562
Bronx,BATHGATE,477,1368864.0,323.15,40.850498331236935,-73.89614370859536
Manhattan,GREENWICH VILLAGE-CENTRAL,5076,2620228.0,1839.37,40.731560476359434,-73.99457062903915
Manhattan,GREENWICH VILLAGE-WEST,4940,3672726.0,2605.61,40.735049457084905,-74.00455671862373
Manhattan,MURRAY HILL,5108,1725188.0,1273.24,40.746694468480456,-73.98045462607685
Manhattan,SOHO,2872,4362995.0,1408.79,40.72486105675497,-74.00390533948459
Manhattan,TRIBECA,4498,3680136.0,975.12,40.71589210493558,-74.01258175300126
Bronx,BRONXDALE,1977,868364.0,303.26,40.86783957056149,-73.8605088492667
Manhattan,HARLEM-CENTRAL,5090,2423695.0,693.02,40.81038331316288,-73.94664032357583
Brooklyn,BRIGHTON BEACH,2384,789672.0,498.12,40.57828062919458,-73.96075117365753
Brooklyn,GRAVESEND,4039,949470.0,575.92,40.59852030279741,-73.9835540168362
Manhattan,JAVITS CENTER,678,4941490.0,1113.55,40.7538640516223,-74.00094876401236
Manhattan,HARLEM-EAST,1554,2306235.0,658.23,40.79286031595857,-73.94378114478845
Manhattan,KIPS BAY,2498,1782951.0,1300.86,40.742709775019854,-73.97579473378799
Manhattan,HARLEM-UPPER,1112,1957487.0,514.09,40.82698993615086,-73.94820813039584
Manhattan,HARLEM-WEST,289,2998939.0,365.48,40.81820871626304,-73.95367825605545
Manhattan,INWOOD,916,1197831.0,554.35,40.8698766550219,-73.91883945960694
Queens,ELMHURST,5066,1512582.0,538.21,40.73928365159887,-73.8816697514807
Brooklyn,BOROUGH PARK,6306,1418662.0,613.74,40.63126049968278,-73.99111329575065
Manhattan,LOWER EAST SIDE,3402,1961493.0,1341.37,40.71561794209346,-73.98667636096386
Manhattan,MANHATTAN VALLEY,1535,1493736.0,920.91,40.79691385798038,-73.9616970013034
Manhattan,LITTLE ITALY,451,5172289.0,1920.23,40.722008667405746,-73.99543513525515
Brooklyn,BUSHWICK,4012,1365503.0,492.62,40.692817229810686,-73.91771006630096
Brooklyn,CANARSIE,4226,715954.0,353.63,40.6397406921436,-73.90209336819699
Brooklyn,GREENPOINT,3488,1921107.0,951.75,40.72728283543591,-73.9509850963302
Manhattan,MIDTOWN CBD,1727,5340422.0,2029.42,40.7591864221191,-73.97199867284323
Manhattan,MIDTOWN EAST,9496,1418792.0,1337.96,40.754861863837654,-73.96691668207558
Manhattan,MIDTOWN WEST,6537,3036532.0,872.91,40.76386771378258,-73.98171879225764
Manhattan,MORNINGSIDE HEIGHTS,794,2100204.0,460.87,40.81218725818629,-73.95969594332486
