building_category,num_sales,avg_price,avg_gross_sqft,avg_price_per_sqft
01 ONE FAMILY DWELLINGS,118578,816497.0,1583.0,512.59
10 COOPS - ELEVATOR APARTMENTS,113096,1030017.0,572.0,13.99
13 CONDOS - ELEVATOR APARTMENTS,98722,2174903.0,244.0,1356.53
02 TWO FAMILY DWELLINGS,87133,993679.0,2201.0,472.96
09 COOPS - WALKUP APARTMENTS,23573,660580.0,161.0,233.98
03 THREE FAMILY DWELLINGS,21002,1246571.0,2936.0,433.69
07 RENTALS - WALKUP APARTMENTS,15385,3416921.0,8199.0,488.52
15 CONDOS - 2-10 UNIT RESIDENTIAL,11808,1593363.0,293.0,1074.58
04 TAX CLASS 1 CONDOS,11537,757316.0,278.0,779.6
17 CONDO COOPS,10461,1132518.0,311.0,251.23
44 CONDO PARKING,7928,1211139.0,147.0,1402.6
12 CONDOS - WALKUP APARTMENTS,7367,890816.0,178.0,734.33
05 TAX CLASS 1 VACANT LAND,5507,1124508.0,37.0,411.87
22 STORE BUILDINGS,5187,4473134.0,8178.0,879.73
14 RENTALS - 4-10 UNIT,3233,2877033.0,4760.0,595.88
29 COMMERCIAL GARAGES,2954,4553317.0,3109.0,1649.33
08 RENTALS - ELEVATOR APARTMENTS,2492,9938257.0,113210.0,281.64
47 CONDO NON-BUSINESS STORAGE,2292,1796957.0,0.0,
43 CONDO OFFICE BUILDINGS,2118,4052422.0,0.0,
21 OFFICE BUILDINGS,1973,6692639.0,33426.0,592.08
31 COMMERCIAL VACANT LAND,1715,4549755.0,269.0,214.17
30 WAREHOUSES,1679,7069765.0,40216.0,797.05
45 CONDO HOTELS,1587,1395439.0,418.0,892.59
11 SPECIAL CONDO BILLING LOTS,1176,2991320.0,254040.0,551.9
27 FACTORIES,1071,6199875.0,14656.0,677.49
46 CONDO STORE BUILDINGS,1036,6609175.0,1015.0,2289.29
26 OTHER HOTELS,823,4091003.0,103709.0,149.75
06 TAX CLASS 1 - OTHER,797,843440.0,62.0,1449.08
41 TAX CLASS 4 - OTHER,691,3751551.0,170308.0,16004.12
28 COMMERCIAL CONDOS,690,3469189.0,29.0,1170.8
16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT,632,2366614.0,16.0,519.5
37 RELIGIOUS FACILITIES,623,3909343.0,7355.0,638.52
33 EDUCATIONAL FACILITIES,265,7847479.0,21024.0,605.79
32 HOSPITAL AND HEALTH FACILITIES,211,9857050.0,30821.0,636.67
48 CONDO TERRACES/GARDENS/CABANAS,175,1705159.0,0.0,
35 INDOOR PUBLIC AND CULTURAL FACILITIES,157,4325034.0,22714.0,488.97
49 CONDO WAREHOUSES/FACTORY/INDUS,135,1478855.0,0.0,
38 ASYLUMS AND HOMES,112,7177867.0,16537.0,538.46
42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC,102,4335225.0,252.0,1174.68
36 OUTDOOR RECREATIONAL FACILITIES,72,5867498.0,3987.0,1982.48
23 LOFT BUILDINGS,59,11655658.0,36960.0,799.67
25 LUXURY HOTELS,45,16567223.0,261159.0,225.64
34 THEATRES,37,14304502.0,29133.0,999.01
