borough_name,neighborhood,sale_price,price_per_sqft,gross_sqft,building_age,sale_year,building_category,latitude,longitude
Manhattan,EAST VILLAGE,10700000,938.6,11400.0,119.0,2019,07 RENTALS - WALKUP APARTMENTS,40.729008,-73.988653
Manhattan,EAST VILLAGE,8470000,894.03,9474.0,119.0,2019,07 RENTALS - WALKUP APARTMENTS,40.727789,-73.983952
Manhattan,FLATIRON,312500,0.93,337000.0,103.0,2019,21 OFFICE BUILDINGS,40.742227,-73.991162
Manhattan,GREENWICH VILLAGE-WEST,4000000,1563.11,2559.0,104.0,2019,07 RENTALS - WALKUP APARTMENTS,40.73522,-74.003237
Manhattan,GREENWICH VILLAGE-WEST,8300000,2074.48,4001.0,109.0,2019,07 RENTALS - WALKUP APARTMENTS,40.730875,-74.005957
Manhattan,GREENWICH VILLAGE-CENTRAL,44792000,359.4,124630.0,57.0,2019,08 RENTALS - ELEVATOR APARTMENTS,40.733117,-73.990911
Manhattan,GREENWICH VILLAGE-WEST,7050000,3839.87,1836.0,120.0,2019,02 TWO FAMILY DWELLINGS,40.736263,-74.007744
Manhattan,GREENWICH VILLAGE-WEST,75000,0.91,82638.0,4.0,2019,08 RENTALS - ELEVATOR APARTMENTS,40.731775,-74.007631
Manhattan,GREENWICH VILLAGE-WEST,9000000,2475.25,3636.0,109.0,2019,07 RENTALS - WALKUP APARTMENTS,40.735678,-74.007184
Manhattan,GREENWICH VILLAGE-WEST,6800000,2569.92,2646.0,120.0,2019,03 THREE FAMILY DWELLINGS,40.73256,-74.001028
Manhattan,GREENWICH VILLAGE-WEST,9000000,6521.74,1380.0,109.0,2019,07 RENTALS - WALKUP APARTMENTS,40.733612,-74.000444
Manhattan,HARLEM-CENTRAL,2782500,830.35,3351.0,110.0,2019,07 RENTALS - WALKUP APARTMENTS,40.803727,-73.945801
Manhattan,GREENWICH VILLAGE-WEST,5250000,1544.12,3400.0,104.0,2019,22 STORE BUILDINGS,40.736098,-74.000812
Manhattan,HARLEM-CENTRAL,21400000,755.12,28340.0,109.0,2019,07 RENTALS - WALKUP APARTMENTS,40.815562,-73.939805
Manhattan,HARLEM-CENTRAL,9631964,444.89,21650.0,93.0,2019,07 RENTALS - WALKUP APARTMENTS,40.813645,-73.941866
Manhattan,HARLEM-CENTRAL,2265500,794.35,2852.0,119.0,2019,03 THREE FAMILY DWELLINGS,40.808472,-73.939226
Manhattan,GREENWICH VILLAGE-WEST,5500000,1533.31,3587.0,99.0,2019,14 RENTALS - 4-10 UNIT,40.733436,-74.003955
Manhattan,HARLEM-CENTRAL,2380000,687.86,3460.0,105.0,2019,02 TWO FAMILY DWELLINGS,40.813035,-73.946234
Manhattan,HARLEM-CENTRAL,7800000,1012.99,7700.0,99.0,2019,07 RENTALS - WALKUP APARTMENTS,40.828826,-73.937516
Manhattan,HARLEM-CENTRAL,7800000,1075.12,7255.0,109.0,2019,07 RENTALS - WALKUP APARTMENTS,40.828867,-73.937509
Manhattan,HARLEM-CENTRAL,2200000,687.5,3200.0,109.0,2019,03 THREE FAMILY DWELLINGS,40.814081,-73.946735
Manhattan,INWOOD,7000000,489.17,14310.0,72.0,2019,22 STORE BUILDINGS,40.864897,-73.919124
Manhattan,HARLEM-UPPER,950000,339.77,2796.0,109.0,2019,07 RENTALS - WALKUP APARTMENTS,40.828803,-73.946232
Manhattan,HARLEM-EAST,1800000,197.8,9100.0,109.0,2019,07 RENTALS - WALKUP APARTMENTS,40.792987,-73.940067
Manhattan,HARLEM-CENTRAL,3000000,615.64,4873.0,99.0,2019,14 RENTALS - 4-10 UNIT,40.80428,-73.948051
Manhattan,HARLEM-EAST,2650000,1394.74,1900.0,63.0,2019,22 STORE BUILDINGS,40.796517,-73.947367
Manhattan,HARLEM-UPPER,2000000,687.52,2909.0,119.0,2019,07 RENTALS - WALKUP APARTMENTS,40.828976,-73.946691
Manhattan,HARLEM-EAST,1825000,436.6,4180.0,120.0,2019,02 TWO FAMILY DWELLINGS,40.798357,-73.932998
Manhattan,LOWER EAST SIDE,10500000,5526.32,1900.0,109.0,2019,22 STORE BUILDINGS,40.718918,-73.983204
Manhattan,LOWER EAST SIDE,6667230,780.71,8540.0,119.0,2019,07 RENTALS - WALKUP APARTMENTS,40.721675,-73.992031
Manhattan,LOWER EAST SIDE,565110,81.43,6940.0,119.0,2019,07 RENTALS - WALKUP APARTMENTS,40.720752,-73.988026
Manhattan,MANHATTAN VALLEY,11650000,457.72,25452.0,118.0,2019,08 RENTALS - ELEVATOR APARTMENTS,40.79885,-73.959873
Manhattan,LOWER EAST SIDE,9250000,880.62,10504.0,89.0,2019,07 RENTALS - WALKUP APARTMENTS,40.71947,-73.986374
Manhattan,MIDTOWN CBD,9843481,1651.59,5960.0,99.0,2019,14 RENTALS - 4-10 UNIT,40.761118,-73.969609
Manhattan,MIDTOWN EAST,13000000,3250.0,4000.0,120.0,2019,02 TWO FAMILY DWELLINGS,40.757857,-73.959775
Manhattan,MIDTOWN CBD,10720623,714.71,15000.0,97.0,2019,21 OFFICE BUILDINGS,40.760547,-73.969422
Manhattan,MIDTOWN WEST,17000000,4228.86,4020.0,99.0,2019,22 STORE BUILDINGS,40.758896,-73.992279
Manhattan,MURRAY HILL,3468750,942.6,3680.0,118.0,2019,01 ONE FAMILY DWELLINGS,40.748651,-73.97727
Manhattan,SOHO,12250000,2659.0,4607.0,5.0,2019,01 ONE FAMILY DWELLINGS,40.724694,-74.003857
Manhattan,SOHO,8000000,2339.18,3420.0,99.0,2019,14 RENTALS - 4-10 UNIT,40.726635,-74.002648
Manhattan,SOHO,19925772,1860.48,10710.0,119.0,2019,07 RENTALS - WALKUP APARTMENTS,40.721982,-73.999704
Manhattan,UPPER EAST SIDE (59-79),17700000,3000.0,5900.0,99.0,2019,01 ONE FAMILY DWELLINGS,40.767763,-73.967747
Manhattan,UPPER EAST SIDE (59-79),4450000,730.23,6094.0,109.0,2019,07 RENTALS - WALKUP APARTMENTS,40.76841,-73.967292
Manhattan,UPPER EAST SIDE (59-79),435000,2.65,163875.0,62.0,2019,08 RENTALS - ELEVATOR APARTMENTS,40.767302,-73.96078
Manhattan,UPPER EAST SIDE (59-79),9995000,2104.21,4750.0,120.0,2019,01 ONE FAMILY DWELLINGS,40.763234,-73.966706
Manhattan,TRIBECA,4950000,1607.14,3080.0,120.0,2019,01 ONE FAMILY DWELLINGS,40.718861,-74.010934
Manhattan,UPPER EAST SIDE (59-79),10750000,4081.25,2634.0,109.0,2019,01 ONE FAMILY DWELLINGS,40.769382,-73.959717
Manhattan,UPPER EAST SIDE (59-79),9250000,1922.28,4812.0,99.0,2019,22 STORE BUILDINGS,40.771639,-73.961304
Manhattan,UPPER EAST SIDE (79-96),5775000,1582.19,3650.0,118.0,2019,03 THREE FAMILY DWELLINGS,40.783644,-73.951671
Manhattan,UPPER EAST SIDE (59-79),2750000,9.35,294142.0,89.0,2019,25 LUXURY HOTELS,40.774267,-73.963285
Manhattan,UPPER EAST SIDE (79-96),16750000,2617.19,6400.0,96.0,2019,01 ONE FAMILY DWELLINGS,40.778632,-73.959611
Manhattan,UPPER EAST SIDE (59-79),17800000,4395.06,4050.0,99.0,2019,37 RELIGIOUS FACILITIES,40.763055,-73.964295
Manhattan,UPPER EAST SIDE (79-96),21000000,2953.59,7110.0,118.0,2019,01 ONE FAMILY DWELLINGS,40.786481,-73.95641
Manhattan,UPPER EAST SIDE (79-96),23000000,3362.57,6840.0,118.0,2019,02 TWO FAMILY DWELLINGS,40.778021,-73.962102
Manhattan,UPPER EAST SIDE (79-96),4650000,1345.49,3456.0,120.0,2019,02 TWO FAMILY DWELLINGS,40.784988,-73.950969
Manhattan,UPPER WEST SIDE (59-79),900000,131.29,6855.0,119.0,2019,07 RENTALS - WALKUP APARTMENTS,40.783743,-73.98188
Manhattan,UPPER EAST SIDE (79-96),10000000,2272.73,4400.0,89.0,2019,22 STORE BUILDINGS,40.779741,-73.960256
Bronx,BATHGATE,425000,316.22,1344.0,125.0,2024,01 ONE FAMILY DWELLINGS,40.850429,-73.895169
Manhattan,UPPER WEST SIDE (79-96),2446800,20.81,117575.0,1.0,2019,08 RENTALS - ELEVATOR APARTMENTS,40.789248,-73.976602
Manhattan,WASHINGTON HEIGHTS LOWER,15210000,339.4,44814.0,109.0,2019,08 RENTALS - ELEVATOR APARTMENTS,40.846825,-73.935562
Manhattan,WASHINGTON HEIGHTS UPPER,999000,504.55,1980.0,120.0,2019,02 TWO FAMILY DWELLINGS,40.850884,-73.93078
Manhattan,WASHINGTON HEIGHTS LOWER,36133,2.72,13280.0,103.0,2019,07 RENTALS - WALKUP APARTMENTS,40.83282,-73.943847
Manhattan,WASHINGTON HEIGHTS UPPER,4505000,265.7,16955.0,102.0,2019,07 RENTALS - WALKUP APARTMENTS,40.847795,-73.932243
Manhattan,WASHINGTON HEIGHTS LOWER,950000,395.83,2400.0,109.0,2019,01 ONE FAMILY DWELLINGS,40.834812,-73.942758
Manhattan,WASHINGTON HEIGHTS UPPER,13600000,231.49,58750.0,79.0,2019,08 RENTALS - ELEVATOR APARTMENTS,40.854313,-73.936256
Manhattan,FLATIRON,6650000,2469.37,2693.0,106.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.743232,-73.988362
Manhattan,KIPS BAY,685000,1589.33,431.0,12.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.737411,-73.979803
Manhattan,GRAMERCY,18000000,1123.17,16026.0,109.0,2019,07 RENTALS - WALKUP APARTMENTS,40.734931,-73.983062
Manhattan,HARLEM-EAST,187000,247.03,757.0,13.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.802814,-73.936089
Manhattan,GREENWICH VILLAGE-WEST,712500,1545.55,461.0,,2019,13 CONDOS - ELEVATOR APARTMENTS,40.735209,-74.001086
Manhattan,CHELSEA,2000000,1857.01,1077.0,6.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.745425,-74.006395
Manhattan,HARLEM-CENTRAL,760000,237.5,3200.0,120.0,2019,03 THREE FAMILY DWELLINGS,40.811011,-73.945257
Manhattan,HARLEM-CENTRAL,375901,600.48,626.0,4.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.816283,-73.938095
Manhattan,HARLEM-CENTRAL,589000,3.04,194030.0,22.0,2019,08 RENTALS - ELEVATOR APARTMENTS,40.804773,-73.941382
Manhattan,FLATIRON,1200000,2051.28,585.0,36.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.740426,-73.988976
Manhattan,HARLEM-CENTRAL,3500000,459.02,7625.0,109.0,2019,07 RENTALS - WALKUP APARTMENTS,40.805944,-73.949104
Manhattan,FLATIRON,4000000,2602.47,1537.0,106.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.743232,-73.988362
Manhattan,CLINTON,1175000,1550.13,758.0,14.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.761463,-73.999816
Manhattan,GREENWICH VILLAGE-WEST,5500000,2008.03,2739.0,109.0,2019,01 ONE FAMILY DWELLINGS,40.733908,-74.000722
Manhattan,GREENWICH VILLAGE-WEST,7775000,3702.38,2100.0,118.0,2019,02 TWO FAMILY DWELLINGS,40.7309,-74.006354
Manhattan,HARLEM-CENTRAL,700000,855.75,818.0,13.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.803769,-73.953802
Manhattan,CHINATOWN,621133,1225.11,507.0,7.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.715389,-73.993536
Manhattan,GRAMERCY,1466280,1828.28,802.0,3.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.736525,-73.983495
Manhattan,CLINTON,4100000,1493.08,2746.0,12.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.765758,-73.988488
Manhattan,FINANCIAL,1355000,1022.64,1325.0,14.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.705209,-74.009998
Manhattan,HARLEM-CENTRAL,963000,514.42,1872.0,13.0,2019,04 TAX CLASS 1 CONDOS,40.807019,-73.947705
Manhattan,FASHION,2650000,2467.41,1074.0,4.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.752505,-73.982574
Manhattan,GREENWICH VILLAGE-CENTRAL,4683950,1469.24,3188.0,119.0,2019,15 CONDOS - 2-10 UNIT RESIDENTIAL,40.729824,-73.99304
Manhattan,HARLEM-CENTRAL,490000,876.57,559.0,109.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.816188,-73.939349
Manhattan,HARLEM-EAST,1653000,787.14,2100.0,66.0,2019,22 STORE BUILDINGS,40.799714,-73.945035
Manhattan,HARLEM-CENTRAL,1325000,1022.38,1296.0,99.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.804004,-73.950309
Manhattan,FASHION,2520169,2361.92,1067.0,4.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.752505,-73.982574
Manhattan,SOHO,2600000,1746.14,1489.0,14.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.726044,-74.009705
Bronx,BAYCHESTER,450000,340.91,1320.0,89.0,2019,01 ONE FAMILY DWELLINGS,40.875672,-73.843641
Manhattan,MIDTOWN WEST,37952,1.77,21462.0,56.0,2019,45 CONDO HOTELS,40.762218,-73.978742
Bronx,BAYCHESTER,310000,296.65,1045.0,89.0,2019,01 ONE FAMILY DWELLINGS,40.867385,-73.839467
Manhattan,MIDTOWN WEST,5050000,631.25,8000.0,99.0,2019,07 RENTALS - WALKUP APARTMENTS,40.761652,-73.988456
Manhattan,MIDTOWN EAST,695000,1331.42,522.0,39.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.751611,-73.970451
Bronx,BAYCHESTER,500000,280.58,1782.0,69.0,2019,01 ONE FAMILY DWELLINGS,40.874996,-73.845277
Bronx,BATHGATE,640000,266.67,2400.0,22.0,2019,02 TWO FAMILY DWELLINGS,40.85711,-73.891956
Manhattan,MIDTOWN WEST,22158995,5284.76,4193.0,10.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.765205,-73.979279
Manhattan,WASHINGTON HEIGHTS LOWER,495000,783.23,632.0,,2019,13 CONDOS - ELEVATOR APARTMENTS,40.845638,-73.932712
Bronx,BAYCHESTER,490000,388.89,1260.0,69.0,2019,01 ONE FAMILY DWELLINGS,40.891321,-73.844979
Bronx,BAYCHESTER,340000,680.0,500.0,49.0,2019,01 ONE FAMILY DWELLINGS,40.878354,-73.838182
Bronx,BATHGATE,462615,237.97,1944.0,120.0,2019,07 RENTALS - WALKUP APARTMENTS,40.839289,-73.902426
Manhattan,LITTLE ITALY,7130000,8631.96,826.0,,2019,46 CONDO STORE BUILDINGS,40.723692,-73.99461
Manhattan,MIDTOWN EAST,4700000,2413.97,1947.0,11.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.755567,-73.964934
Manhattan,UPPER EAST SIDE (79-96),840000,1057.93,794.0,,2019,13 CONDOS - ELEVATOR APARTMENTS,40.782491,-73.951292
Manhattan,UPPER EAST SIDE (59-79),1875000,1444.53,1298.0,60.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.764394,-73.965579
Manhattan,UPPER WEST SIDE (79-96),2300000,1426.8,1612.0,15.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.784228,-73.978749
Manhattan,MIDTOWN WEST,660000,1073.17,615.0,,2019,13 CONDOS - ELEVATOR APARTMENTS,40.761431,-73.982142
Bronx,BAYCHESTER,560000,292.89,1912.0,109.0,2019,02 TWO FAMILY DWELLINGS,40.879673,-73.847877
Manhattan,UPPER WEST SIDE (59-79),4100000,2205.49,1859.0,,2019,13 CONDOS - ELEVATOR APARTMENTS,40.774123,-73.982229
Bronx,BATHGATE,300000,195.31,1536.0,109.0,2019,03 THREE FAMILY DWELLINGS,40.855489,-73.893744
Bronx,BAYCHESTER,470000,341.57,1376.0,99.0,2019,01 ONE FAMILY DWELLINGS,40.891964,-73.831884
Bronx,BAYCHESTER,615000,280.31,2194.0,64.0,2019,02 TWO FAMILY DWELLINGS,40.879309,-73.852576
Manhattan,UPPER WEST SIDE (59-79),1250000,1511.49,827.0,15.0,2019,13 CONDOS - ELEVATOR APARTMENTS,40.780478,-73.987337
